lastUpdated,text,title,url
2020-05-11 21:48:00,"For the political term, see Benevolent dictatorship.Benevolent dictator for life (BDFL) is a title given to a small number of open-source software development leaders, typically project founders who retain the final say in disputes or arguments within the community. The phrase originated in 1995 with reference to Guido van Rossum, creator of the Python programming language.[1][2] Shortly after Van Rossum joined the Corporation for National Research Initiatives, the term appeared in a follow-up mail by Ken Manheimer to a meeting trying to create a semi-formal group that would oversee Python development and workshops; this initial use included an additional joke of naming Van Rossum the ""First Interim BDFL"".[1] Van Rossum announced on July 12, 2018, that he would be stepping down as BDFL of Python.[3]BDFL should not be confused with the more common term for open-source leaders, ""benevolent dictator"", which was popularized by Eric S. Raymond's essay ""Homesteading the Noosphere"" (1999).[4] Among other topics related to hacker culture, Raymond elaborates on how the nature of open source forces the ""dictatorship"" to keep itself benevolent, since a strong disagreement can lead to the forking of the project under the rule of new leaders.
Referrant candidates[edit]

Name
Project
",Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
2020-03-20 18:19:00,"Dolibarr ERP CRMDeveloper(s)Dolibarr team (Project leader: Laurent Destailleur)Stable release11.0.3
   / March 19, 2020; 55 days ago (2020-03-19)Repositorysourceforge.net/projects/dolibarr/files/Written inPHPOperating systemCross-platformTypeERP, CRM, Accounting, SaaSLicenseGNU General Public License 3.0Websitewww.dolibarr.orgDolibarr ERP CRM is an open source, free software package for small and medium companies, foundations or freelancers. It includes different features for enterprise resource planning (ERP) and customer relationship management (CRM) but also other features for different activities.[",Dolibarr,https://en.wikipedia.org/wiki/Dolibarr
2020-04-17 04:25:00,"Adrian HolovatyAdrian Holovaty in 2009Born1981 (age 38–39)Naperville, IllinoisNationalityUSAAlma materMissouri School of Journalism (B.A., 2001)Occupationweb developer, journalist, entrepreneurKnown forDjango Web frameworkAdrian Holovaty (born 1981) is an American web developer, journalist and entrepreneur from Chicago, Illinois, living in Amsterdam, the Netherlands. He is co-creator of the Django web framework and an advocate of ""journalism via computer programming"".
Contents1Life and career1.1Crime mapping innovations2References3External links

Life and career[",Adrian Holovaty,https://en.wikipedia.org/wiki/Adrian_Holovaty
2020-05-08 10:14:00,Approach to manage a company's interaction with current and potential customersBusiness administrationManagement of a businessAccountingManagement accountingFinancial accountingFinancial auditBusiness entitiesCorporate groupConglomerate (company)Holding companyCooperativeCorporationJoint-stock companyLimited liability companyPartnershipPrivately held companySole proprietorshipState-owned enterpriseCorporate governanceAnnual general meetingBoard of directors,Customer relationship management,https://en.wikipedia.org/wiki/Customer_Relationship_Management
2020-05-05 08:41:00,"For similarly sounding names, see closure.A modern, dynamic, and functional Lisp on JVMClojureParadigmmulti-paradigm:
agent-oriented[1]concurrent[2][3]functional[4]logic[5]macro[6]pipeline[7]FamilyLispDesigned byRich HickeyFirst appeared2007; 13 years ago (2007)Stable release1.10.1[8]
   / June 6, 2019; 11 months ago (2019-06-06)Typing discipline",Clojure,https://en.wikipedia.org/wiki/Rich_Hickey
2020-05-07 19:00:00,"Not to be confused with Ruby (programming language).Ruby on RailsOriginal author(s)David Heinemeier HanssonInitial release13 December 2005; 14 years ago (2005-12-13)[1]Stable release6.0.3 (May 6, 2020; 2 days ago (2020-05-06)[2]) [±]RepositoryRails RepositoryWritten inRubySize57.8 MB[3]TypeWeb application frameworkLicenseMIT LicenseWebsiterubyonrails.orgRuby on Rails, or Rails, is a server-sideweb application framework written in Ruby under the ",Ruby on Rails,https://en.wikipedia.org/wiki/Ruby_on_Rails
2020-04-30 21:40:00,"Web content management systemDrupalDrupal 8 in action. Showing in-context editing and previews (WYSIWYG).Original author(s)Dries BuytaertDeveloper(s)Drupal communityInitial releaseMay 18, 2000; 19 years ago (2000-05-18)[1]Stable release8.8.5[2]
   / 2020-04-02[±]Preview release9.0.0-beta2
   / 2020-03-30[2]RepositoryDrupal RepositoryWritten inPHP, using SymfonyOperating systemUnix-like, WindowsPlatformWeb platformSize80 MB (uncompressed Drupal 8 core)[3]TypeContent management framework, content management system, blog softwareLicenseGPLv2+[4]",Drupal,https://en.wikipedia.org/wiki/Drupal
2020-04-16 09:59:00,"Not to be confused with David Hanson (computer scientist).David Heinemeier HanssonHansson at the 2006 O'Reilly Emerging Technology ConferenceBorn (1979-10-15) 15 October 1979 (age 40)[1]Copenhagen, DenmarkOther namesDHHOccupationProgrammer[2]EmployerBasecampKnown forRuby on RailsWebsitedhh.dkDavid Heinemeier Hansson (born 15 October 1979) is a Danishprogrammer, racing driver and the creator of the popular Ruby on Railsweb developmentframework and the Instiki wiki.[3] He is also a partner at the web-based software development firm Basecamp. 
Hansson co-wrote ",David Heinemeier Hansson,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson
2020-01-12 00:14:00,"  Dries Buytaert at FOSDEM 2008.Dries Buytaert (born 19 November 1978 in Wilrijk, Antwerp, Belgium)[1] is an open-source softwareprogrammer notable as founder and lead developer of the Drupal content management system.[2][3][4]Contents1Career2References3External links3.1Interviews3.2Talks",Dries Buytaert,https://en.wikipedia.org/wiki/Dries_Buytaert
2020-05-05 08:41:00,"For similarly sounding names, see closure.A modern, dynamic, and functional Lisp on JVMClojureParadigmmulti-paradigm:
agent-oriented[1]concurrent[2][3]functional[4]logic[5]macro[6]pipeline[7]FamilyLispDesigned byRich HickeyFirst appeared2007; 13 years ago (2007)Stable release1.10.1[8]
   / June 6, 2019; 10 months ago (2019-06-06)Typing discipline",Clojure,https://en.wikipedia.org/wiki/Clojure
2020-05-11 17:43:00,"This article relies too much on references to primary sources. Please improve this  by adding secondary or tertiary sources.  (May 2019) (Learn how and when to remove this template message)ElmParadigmFunctionalDesigned byEvan CzaplickiFirst appearedMarch 30, 2012; 8 years ago (2012-03-30)[1]Stable release0.19.1
   / October 21, 2019; 6 months ago (2019-10-21)[2]Typing disciplineStatic, Strong, InferredLicensePermissive (Revised BSD)[3]Filename extensions",Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language)
2020-05-12 18:36:00,"body.skin-minerva .mw-parser-output table,body.skin-minerva .mw-parser-output tr,body.skin-minerva .mw-parser-output td,body.skin-minerva .mw-parser-output tbody{display:block!important;width:100%!important;box-sizing:border-box}body.skin-minerva .mw-parser-output #mp-topbanner{min-width:0!important;white-space:initial!important}body.skin-minerva .mw-parser-output #mp-topbanner>ul{display:none}body.skin-minerva .mw-parser-output #mp-topbanner>div{width:auto!important}body.skin-minerva .mw-parser-output #mp-tfp tr td:first-child a{text-align:center;display:block}body.skin-minerva .mw-parser-output #sister-projects-list>div{width:49%}Welcome to Wikipedia,the freeencyclopedia that anyone can edit.6,077,165 articles in EnglishArtsBiographyGeographyHistoryMathematicsScienceSocietyTechnologyAll portalsFrom today's featured articleConnor Trinneer",Main Page,https://en.wikipedia.org/wiki/Main_Page
2020-05-04 23:25:00,"Open source blockchain computing platformEthereumEthereum LogoOriginal author(s)Vitalik Buterin, Gavin WoodDeveloper(s)Ethereum FoundationInitial release30 July 2015; 4 years ago (2015-07-30)Stable releaseMuir Glacier / 1 January 2020; 4 months ago (2020-01-01)Development statusActiveSoftware usedEVM 1 BytecodeWritten inGo, Rust,  C#,  C++, Java, PythonOperating systemCross-platformPlatformx86-64, ARMSize300 GB (2020-03)TypeDistributed ComputingLicense",Ethereum,https://en.wikipedia.org/wiki/Ethereum
2020-02-28 11:59:00,"This article has multiple issues. Please help improve it or discuss these issues on the talk page. (Learn how and when to remove these template messages)
      This article's factual accuracy may be compromised due to out-of-date information. Please update this article to reflect recent events or newly available information.  (November 2010)This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed.Find sources: ""Linux.com"" – news ·newspapers ·books ·scholar ·",Linux.com,https://en.wikipedia.org/wiki/Linux.com
2020-05-10 09:02:00,"  Mustafa Kemal Atatürk in 1923A benevolent dictatorship refers to a government in which an authoritarian leader exercises absolute political power over the state but is perceived to do so with regard for benefit of the population as a whole, standing in contrast to the decidedly malevolent stereotype of a dictator who focuses on their and their supporters' self-interests. A benevolent dictator may allow for some economic liberalization or democratic decision-making to exist, such as through public referenda or electedrepresentatives with limited power, and often makes preparations for a transition to genuine democracy during or after their term. It might be seen as a republican form of enlightened despotism.
The label has been applied to leaders such as Sultan Qaboos bin Said of Oman (1970–2020),[1]Mustafa Kemal Atatürk of Turkey (1923–38),[2]Josip Broz Tito of Yugoslavia (1953–80),[3]Lee Kuan Yew of ",Benevolent dictatorship,https://en.wikipedia.org/wiki/Benevolent_dictatorship
2020-03-29 01:06:00,"Russian-Canadian programmer and writerVitalik ButerinVitalik Buterin, 2016Born (1994-01-31) January 31, 1994 (age 26)Kolomna, RussiaNationalityRussian-CanadianAlma materUniversity of Waterloo(dropped out)Known forEthereum, Bitcoin MagazineAwardsThiel FellowshipScientific careerFieldsDigital contracts, digital currencies, game theoryWebsitevitalik.caVitaly Dmitriyevich ""Vitalik"" Buterin (Russian: Виталий Дмитриевич Бутерин; born January 31, 1994) is a Russian-Canadianprogrammer and writer primarily known as a co-founder of Ethereum and as a co-founder of ",Vitalik Buterin,https://en.wikipedia.org/wiki/Vitalik_Buterin
2020-05-11 21:15:00,"Social networking service for neighborhoodsNextdoor Inc.Type of businessPrivateType of siteSocial networking serviceFounded2008; 12 years ago (2008)HeadquartersSan Francisco, California, USArea servedAustralia, France, Germany, Italy, Netherlands, Spain, Sweden, United Kingdom, United States, Canada, Denmark[1]Founder(s)Sarah Leary, Nirav Tolia, Prakash Janakiraman, David WiesenKey peopleSarah Friar (CEO)URLnextdoor.comNative client(s) oniOS, Android, webNextdoor is a hyperlocalsocial networking service. Based in San Francisco, California, the company was founded in 2008 and launched in the United States in October 2011,[2] and is currently available in 11 countries.
Users of Nextdoor submit their real names and addresses (or street without the exact number) to the website; posts made to the website are available only to other Nextdoor members living in the same neighborhood.[3] There were over 10 million users as of February 2018.[4]",Nextdoor,https://en.wikipedia.org/wiki/Nextdoor
